nflId,height,weight,birthDate,collegeName,officialPosition,displayName,gameId,playId,nflId:1,frameId,time,jerseyNumber,team,playDirection,x,y,s,a,dis,o,dir,event
42377,6-6,338,1993-06-23,Penn State,T,Donovan Smith,2021090900,97,42377.0,1,2021-09-10T00:26:31.100,76.0,TB,right,41.55,26.89,0.0,0.0,0.0,148.02,132.28,None
42377,6-6,338,1993-06-23,Penn State,T,Donovan Smith,2021090900,97,42377.0,2,2021-09-10T00:26:31.200,76.0,TB,right,41.54,26.88,0.0,0.0,0.01,148.02,138.78,None
42377,6-6,338,1993-06-23,Penn State,T,Donovan Smith,2021090900,97,42377.0,3,2021-09-10T00:26:31.300,76.0,TB,right,41.53,26.89,0.0,0.1,0.01,146.83,228.3,None
42377,6-6,338,1993-06-23,Penn State,T,Donovan Smith,2021090900,97,42377.0,4,2021-09-10T00:26:31.400,76.0,TB,right,41.5,26.89,0.13,1.73,0.04,146.83,277.34,None
42377,6-6,338,1993-06-23,Penn State,T,Donovan Smith,2021090900,97,42377.0,5,2021-09-10T00:26:31.500,76.0,TB,right,41.46,26.91,0.46,2.77,0.04,145.19,282.44,None
42377,6-6,338,1993-06-23,Penn State,T,Donovan Smith,2021090900,97,42377.0,6,2021-09-10T00:26:31.600,76.0,TB,right,41.38,26.92,0.85,2.9,0.08,145.19,283.52,ball_snap
42377,6-6,338,1993-06-23,Penn State,T,Donovan Smith,2021090900,97,42377.0,7,2021-09-10T00:26:31.700,76.0,TB,right,41.28,26.95,1.18,2.72,0.11,143.36,284.59,None
42377,6-6,338,1993-06-23,Penn State,T,Donovan Smith,2021090900,97,42377.0,8,2021-09-10T00:26:31.800,76.0,TB,right,41.14,27.01,1.52,2.22,0.15,144.9,288.77,None
42377,6-6,338,1993-06-23,Penn State,T,Donovan Smith,2021090900,97,42377.0,9,2021-09-10T00:26:31.900,76.0,TB,right,40.94,27.11,1.97,2.4,0.22,146.57,292.86,None
42377,6-6,338,1993-06-23,Penn State,T,Donovan Smith,2021090900,97,42377.0,10,2021-09-10T00:26:32.000,76.0,TB,right,40.72,27.2,2.31,1.81,0.24,145.97,293.22,None
42377,6-6,338,1993-06-23,Penn State,T,Donovan Smith,2021090900,97,42377.0,11,2021-09-10T00:26:32.100,76.0,TB,right,40.46,27.3,2.61,1.27,0.28,145.97,293.12,None
42377,6-6,338,1993-06-23,Penn State,T,Donovan Smith,2021090900,97,42377.0,12,2021-09-10T00:26:32.200,76.0,TB,right,40.2,27.39,2.75,0.62,0.28,145.97,292.08,None
42377,6-6,338,1993-06-23,Penn State,T,Donovan Smith,2021090900,97,42377.0,13,2021-09-10T00:26:32.300,76.0,TB,right,39.95,27.49,2.77,0.08,0.27,144.55,291.78,None
42377,6-6,338,1993-06-23,Penn State,T,Donovan Smith,2021090900,97,42377.0,14,2021-09-10T00:26:32.400,76.0,TB,right,39.67,27.59,2.81,0.51,0.29,144.55,290.0,None
42377,6-6,338,1993-06-23,Penn State,T,Donovan Smith,2021090900,97,42377.0,15,2021-09-10T00:26:32.500,76.0,TB,right,39.39,27.67,2.79,0.96,0.29,144.55,287.77,None
42377,6-6,338,1993-06-23,Penn State,T,Donovan Smith,2021090900,97,42377.0,16,2021-09-10T00:26:32.600,76.0,TB,right,39.1,27.73,2.82,1.2,0.3,143.43,284.67,None
42377,6-6,338,1993-06-23,Penn State,T,Donovan Smith,2021090900,97,42377.0,17,2021-09-10T00:26:32.700,76.0,TB,right,38.78,27.77,2.89,1.33,0.32,325.49,280.15,None
42377,6-6,338,1993-06-23,Penn State,T,Donovan Smith,2021090900,97,42377.0,18,2021-09-10T00:26:32.800,76.0,TB,right,38.46,27.8,2.94,1.4,0.32,326.75,276.11,None
42377,6-6,338,1993-06-23,Penn State,T,Donovan Smith,2021090900,97,42377.0,19,2021-09-10T00:26:32.900,76.0,TB,right,38.14,27.79,2.94,1.58,0.31,328.94,270.7,None
42377,6-6,338,1993-06-23,Penn State,T,Donovan Smith,2021090900,97,42377.0,20,2021-09-10T00:26:33.000,76.0,TB,right,37.83,27.74,2.95,1.71,0.31,329.72,265.04,None
